speakerid,mean_sim,lastname,firstname,chamber,state,gender,party,district,nonvoting,session
99108830,-0.00274919578933333,BYRON,BEVERLY,H,MD,F,D,6,voting,99
99108840,-0.0187467940714286,CHANDLER,RODNEY,H,WA,M,R,8,voting,99
99108851,-0.0359126102382353,COHEN,WILLIAM,S,ME,M,R,,voting,99
99108860,-0.00428831566344538,COLEMAN,EARL,H,MO,M,R,6,voting,99
99108880,-0.0381735002118348,CONTE,SILVIO,H,MA,M,R,1,voting,99
99108890,-0.0297585131766355,COUGHLIN,ROBERT,H,PA,M,R,13,voting,99
99108910,-0.0483812979449275,DANNEMEYER,WILLIAM,H,CA,M,R,39,voting,99
99108920,-0.0593334763861111,DAVIS,ROBERT,H,MI,M,R,11,voting,99
99108930,-0.0116475890872917,DICKINSON,WILLIAM,H,AL,M,R,2,voting,99
99108940,-0.0328059225777778,DONNELLY,BRIAN,H,MA,M,D,11,voting,99
99108950,0.014399999894,DOWNEY,THOMAS,H,NY,M,D,2,voting,99
99108960,0.0222561576818182,DWYER,BERNARD,H,NJ,M,D,6,voting,99
99108970,-0.000893630036538462,DYMALLY,MERVYN,H,CA,M,D,31,voting,99
99108980,-0.0174806120204762,EARLY,JOSEPH,H,MA,M,D,3,voting,99
99108990,-0.0419147115846903,ECKART,DENNIS,H,OH,M,D,11,voting,99
99109000,0.0236562278389831,EDWARDS,MARVIN,H,OK,M,R,5,voting,99
99109010,-0.0373282809744186,ERDREICH,BEN,H,AL,M,D,6,voting,99
99109021,0.00545084299074954,EXON,J.,S,NE,M,D,,voting,99
99109030,0.00188095357233503,FASCELL,DANTE,H,FL,M,D,19,voting,99
99109040,0.00828937559322034,FEIGHAN,EDWARD,H,OH,M,D,19,voting,99
99109050,-0.0452726959,FUSTER,JAIME,H,PR,M,D,0,nonvoting,99
99109060,-0.0157059240660714,GAYDOS,JOSEPH,H,PA,M,D,20,voting,99
99109071,-0.0162608805076706,GORE,ALBERT,S,TN,M,D,,voting,99
99109080,-0.00170333237324561,GRAY,WILLIAM,H,PA,M,D,2,voting,99
99109090,-0.0406509001039409,GREEN,SEDGWICK,H,NY,M,R,15,voting,99
99109100,-0.0935117301055556,GUARINI,FRANK,H,NJ,M,D,14,voting,99
99109110,-0.0481755373698276,HAMMERSCHMIDT,JOHN,H,AR,M,R,3,voting,99
99109130,-0.0535815254727273,HATCHER,CHARLES,H,GA,M,D,2,voting,99
99109141,-0.00773361083088235,HATFIELD,MARK,S,OR,M,R,,voting,99
99109150,-0.002235349225,HAYES,CHARLES,H,IL,M,D,1,voting,99
99109161,-0.0371497528317135,HEFLIN,HOWELL,S,AL,M,D,,voting,99
99109170,-0.0279970600683168,HERTEL,DENNIS,H,MI,M,D,14,voting,99
99109190,-0.0161087518673134,HOPKINS,LARRY,H,KY,M,R,6,voting,99
99109210,-0.0530441272609023,HORTON,FRANK,H,NY,M,R,29,voting,99
99109220,-0.0175453472144828,HUBBARD,CARROLL,H,KY,M,D,1,voting,99
99109230,0.002222088068,HUCKABY,THOMAS,H,LA,M,D,5,voting,99
99109240,0.01583022057,IRELAND,ANDREW,H,FL,M,R,10,voting,99
99109260,-0.0135633206742857,JENKINS,EDGAR,H,GA,M,D,9,voting,99
99109271,-0.0293665642397012,JOHNSTON,JOHN,S,LA,M,D,,voting,99
99109290,-0.057373608444697,JONES,WALTER,H,NC,M,D,1,voting,99
99109311,-0.0373624823879874,KASSEBAUM,NANCY,S,KS,F,R,,voting,99
99109320,-0.0513385276896552,KOLTER,JOSEPH,H,PA,M,D,4,voting,99
99109330,0.00699307661868132,KOSTMAYER,PETER,H,PA,M,D,8,voting,99
99109340,-0.00817652243550633,LAGOMARSINO,ROBERT,H,CA,M,R,19,voting,99
99109350,-0.040133686479,LEHMAN,WILLIAM,H,FL,M,D,17,voting,99
99109360,-0.0565945432159794,LENT,NORMAN,H,NY,M,R,4,voting,99
99109370,-0.00998837633729032,LEVINE,MELDON,H,CA,M,D,27,voting,99
