speakerid,mean_sim,lastname,firstname,chamber,state,gender,party,district,nonvoting,session
82090841,0.00252337479080895,CAIN,HARRY,S,WA,M,R,,voting,82
82090961,-0.0240068003853716,BREWSTER,RALPH,S,ME,M,R,,voting,82
82091061,-0.023353279132541,CONNALLY,THOMAS,S,TX,M,D,,voting,82
82091151,-0.046834743359899,ECTON,ZALES,S,MT,M,R,,voting,82
82091481,-0.0224680294035514,KEM,JAMES,S,MO,M,R,,voting,82
82091541,0.043077802155137,LODGE,HENRY,S,MA,M,R,,voting,82
82091651,-0.000679966608530184,MCFARLAND,ERNEST,S,AZ,M,D,,voting,82
82091681,-0.0336153158568945,MCKELLAR,KENNETH,S,TN,M,D,,voting,82
82091771,-0.0570795435748817,OCONOR,HERBERT,S,MD,M,D,,voting,82
82092041,-0.0322796943333333,VANDENBERG,ARTHUR,S,MI,M,R,,voting,82
82092121,-0.012326545425687,BENTON,WILLIAM,S,CT,M,D,,voting,82
82092211,-0.0071063438,CHAPMAN,VIRGIL,S,KY,M,D,,voting,82
82092251,-0.0514606777082119,CORDON,GUY,S,OR,M,R,,voting,82
82092331,-0.0525613071089102,FERGUSON,HOMER,S,MI,M,R,,voting,82
82092341,-0.00771484864234043,GILLETTE,GUY,S,IA,M,D,,voting,82
82092411,-0.028466924372589,HENDRICKSON,ROBERT,S,NJ,M,R,,voting,82
82092441,-0.0325834962735469,HUNT,LESTER,S,WY,M,D,,voting,82
82092471,-0.0627950981259148,JOHNSON,EDWIN,S,CO,M,D,,voting,82
82092621,-0.0402786246614032,MAYBANK,BURNET,S,SC,M,D,,voting,82
82092901,-0.0171482425106636,WHERRY,KENNETH,S,NE,M,R,,voting,82
82092971,-0.0146835466315789,CLEMENTS,EARLE,S,KY,M,D,,voting,82
82092981,-0.0643597423376471,SMITH,WILLIS,S,NC,M,D,,voting,82
82092990,-0.0417054237142857,AANDAHL,FRED,H,ND,M,R,0,voting,82
82093000,-0.0879548676,ALLEN,ASA,H,LA,M,D,8,voting,82
82093010,-0.00249968035652174,ANDERSON,JOHN,H,CA,M,R,8,voting,82
82093020,0.0185336398298837,ARMSTRONG,ORLAND,H,MO,M,R,6,voting,82
82093030,-0.06126128994375,BAKEWELL,CLAUDE,H,MO,M,R,11,voting,82
82093040,-0.0587559520708333,BATES,JOSEPH,H,KY,M,D,8,voting,82
82093050,0.0010780819,BLACKNEY,WILLIAM,H,MI,M,R,6,voting,82
82093060,0.00780006641470588,BOSONE,REVA,H,UT,F,D,2,voting,82
82093080,-0.01366257825,BREHM,WALTER,H,OH,M,R,11,voting,82
82093090,0.016898809,BUCHANAN,FRANK,H,PA,M,D,33,voting,82
82093100,-0.0614287074977778,BUFFETT,HOWARD,H,NE,M,R,2,voting,82
82093110,-0.0824849691769231,BURTON,CLARENCE,H,VA,M,D,6,voting,82
82093120,-0.0316594268333333,BUTLER,JOHN,H,NY,M,R,44,voting,82
82093130,-0.0382211804846667,BYRNE,WILLIAM,H,NY,M,D,32,voting,82
82093140,0.00606847038709677,CLEMENTE,LOUIS,H,NY,M,D,4,voting,82
82093150,-0.0651799153495146,COLE,ALBERT,H,KS,M,R,1,voting,82
82093160,-0.0530866580153846,COMBS,JESSE,H,TX,M,D,2,voting,82
82093170,-0.0231065336446064,COX,EDWARD,H,GA,M,D,2,voting,82
82093180,-0.0522490027454924,CRAWFORD,FRED,H,MI,M,R,8,voting,82
82093190,-0.00599366543333333,DENNY,HARMAR,H,PA,M,R,29,voting,82
82093200,-0.0680460679263691,DOUGHTON,ROBERT,H,NC,M,D,9,voting,82
82093211,-0.0445224475,DUFF,JAMES,S,PA,M,R,,voting,82
82093220,0.0490280696785714,EATON,CHARLES,H,NJ,M,R,5,voting,82
82093230,-0.0183997279619048,ELSTON,CHARLES,H,OH,M,R,1,voting,82
82093240,0.0198858090588235,FELLOWS,FRANK,H,ME,M,R,3,voting,82
82093250,-0.0649068756428571,FUGATE,THOMAS,H,VA,M,D,9,voting,82
82093260,-0.0074313193982906,FURCOLO,JOHN,H,MA,M,D,2,voting,82
82093271,-0.0738928676115602,GEORGE,WALTER,S,GA,M,D,,voting,82
82093280,-0.024325997,GILLETTE,WILSON,H,PA,M,R,14,voting,82
82093290,-0.0469689122791667,GOSSETT,ED,H,TX,M,D,13,voting,82
82093300,-0.0437217779217391,GRANGER,WALTER,H,UT,M,D,1,voting,82
82093310,-0.0317770078333333,GREENWOOD,ERNEST,H,NY,M,D,1,voting,82
82093330,-0.0627550905,HALL,LEONARD,H,NY,M,R,2,voting,82
82093340,-0.0213465330381818,HAVENNER,FRANCK,H,CA,M,D,4,voting,82
82093350,-0.04544539938,HEDRICK,ERLAND,H,WV,M,D,6,voting,82
82093360,-0.001798655,HEFFERNAN,JAMES,H,NY,M,D,11,voting,82
82093370,-0.0173735280501031,HERTER,CHRISTIAN,H,MA,M,R,10,voting,82
82093381,-0.0782429890204301,HOEY,CLYDE,S,NC,M,D,,voting,82
82093390,-0.00967656044444444,IRVING,THEODORE,H,MO,M,D,4,voting,82
82093400,-0.025281981,JENISON,EDWARD,H,IL,M,R,23,voting,82
82093410,-0.0308132766714286,JONES,HAMILTON,H,NC,M,D,10,voting,82
82093420,0.005172055,KEE,JOHN,H,WV,M,D,5,voting,82
82093430,-0.0293830339,KERR,JOHN,H,NC,M,D,2,voting,82
82093440,-0.0744158379,LARCADE,HENRY,H,LA,M,D,7,voting,82
82093451,-0.0319376698984985,LEHMAN,HERBERT,S,NY,M,D,,voting,82
82093460,-0.002032219,LIND,JAMES,H,PA,M,D,21,voting,82
82093470,-0.023152517,MAGEE,CLARE,H,MO,M,D,1,voting,82
82093481,-0.0526773394292774,MCCARRAN,PATRICK,S,NV,M,D,,voting,82
82093490,-0.0421161385776471,MCGRATH,CHRISTOPHER,H,NY,M,D,26,voting,82
82093500,-0.0488658560909091,MCGUIRE,JOHN,H,CT,M,D,3,voting,82
82093510,-0.0431669423176923,MCKINNON,CLINTON,H,CA,M,D,23,voting,82
82093521,0.0118826611401437,MCMAHON,BRIEN,S,CT,M,D,,voting,82
82093530,-0.0362941033333333,MCMULLEN,CHESTER,H,FL,M,D,1,voting,82
82093541,-0.0528883680945217,MILLIKIN,EUGENE,S,CO,M,R,,voting,82
82093550,-0.0561707198636364,MITCHELL,HUGH,H,WA,M,D,1,voting,82
82093561,-0.0428732170054915,MOODY,ARTHUR,S,MI,M,D,,voting,82
82093570,-0.059767073677181,MURDOCK,JOHN,H,AZ,M,D,1,voting,82
82093580,-0.026087025,MURPHY,JAMES,H,NY,M,D,16,voting,82
82093590,-0.040871724,MURRAY,REID,H,WI,M,R,7,voting,82
82093600,-0.0563279273333333,ONEILL,HARRY,H,PA,M,D,10,voting,82
82093610,-0.0256287032069767,OTOOLE,DONALD,H,NY,M,D,13,voting,82
82093620,-0.0544165196666667,PICKETT,THOMAS,H,TX,M,D,7,voting,82
82093640,-0.0314864975714286,RAMSAY,ROBERT,H,WV,M,D,1,voting,82
82093650,-0.00142178280574857,RANKIN,JOHN,H,MS,M,D,1,voting,82
82093660,-0.0236207663333333,REDDEN,MONROE,H,NC,M,D,12,voting,82
82093670,-0.0934409394166667,ROSS,ROBERT,H,NY,M,R,5,voting,82
82093680,-0.0442896624614013,SABATH,ADOLPH,H,IL,M,D,7,voting,82
82093690,-0.0500519239651163,SASSCER,LANSDALE,H,MD,M,D,5,voting,82
82093700,-0.041323502525,SCHWABE,GEORGE,H,OK,M,R,1,voting,82
82093710,0.06370301,SCOTT,HARDIE,H,PA,M,R,3,voting,82
82093721,-0.0152742788888889,SEATON,FREDERICK,S,NE,M,R,,voting,82
82093730,-0.0180148022763158,SITTLER,EDWARD,H,PA,M,R,23,voting,82
82093740,-0.0178843785693548,STEFAN,KARL,H,NE,M,R,3,voting,82
82093750,-0.0133238361294118,STIGLER,WILLIAM,H,OK,M,D,2,voting,82
82093760,-0.0513921712,STOCKMAN,LOWELL,H,OR,M,R,2,voting,82
82093780,-0.0626088423711712,TACKETT,BOYD,H,AR,M,D,4,voting,82
82093791,-0.00943705828014815,TAFT,ROBERT,S,OH,M,R,,voting,82
82093801,0.00392911756140351,TOBEY,CHARLES,S,NH,M,R,,voting,82
82093810,0.0274109508421053,TOWE,HARRY,H,NJ,M,R,9,voting,82
82093821,-0.0462976431051948,UNDERWOOD,THOMAS,S,KY,M,D,,voting,82
82093830,-0.0388545992413793,VAIL,RICHARD,H,IL,M,R,2,voting,82
82093840,-0.0526478386666667,VAUGHN,ALBERT,H,PA,M,R,8,voting,82
82093850,-0.009182928,WELCH,PHILIP,H,MO,M,D,3,voting,82
82093861,-0.0390671638454655,WELKER,HERMAN,S,ID,M,R,,voting,82
82093870,-0.0583147263704348,WERDEL,THOMAS,H,CA,M,R,10,voting,82
82093880,0.0199498758944,WHITAKER,JOHN,H,KY,M,D,2,voting,82
82093890,-0.016977574875,WOOD,JOHN,H,GA,M,D,9,voting,82
82093900,0.000257323988235293,WOOD,JOHN,H,ID,M,R,1,voting,82
82093910,-0.0294405655,WOODRUFF,ROY,H,MI,M,R,10,voting,82
82093920,0.0327901157518519,DEGRAFFENRIED,EDWARD,H,AL,M,D,6,voting,82
82093941,-0.00784300236896552,POTTER,CHARLES,S,MI,M,R,,voting,82
82093950,-0.0635560502976744,ANGELL,HOMER,H,OR,M,R,3,voting,82
82093970,-0.0098807090547619,BATTLE,LAURIE,H,AL,M,D,9,voting,82
82094000,-0.014831012,BRAMBLETT,ERNEST,H,CA,M,R,11,voting,82
82094011,-0.0441241916639978,BRICKER,JOHN,S,OH,M,R,,voting,82
82094020,-0.0398667718627119,BRYSON,JOSEPH,H,SC,M,D,4,voting,82
82094040,-0.0581859293580925,BUSBEY,FRED,H,IL,M,R,3,voting,82
82094051,-0.0316399823724324,BUTLER,HUGH,S,NE,M,R,,voting,82
82094060,-0.0923144379716667,CAMP,ALBERT,H,GA,M,D,4,voting,82
82094110,-0.0505744566666667,CROSSER,ROBERT,H,OH,M,D,21,voting,82
82094120,-0.0732768296284314,DEWART,WESLEY,H,MT,M,R,2,voting,82
82094140,-0.0493485108970588,FARRINGTON,JOSEPH,H,HI,M,R,-1,nonvoting,82
82094151,-0.048103437060107,FLANDERS,RALPH,S,VT,M,R,,voting,82
82094160,-0.0433691443219178,GOLDEN,JAMES,H,KY,M,R,9,voting,82
82094170,-0.0192861117192308,GOODWIN,ANGIER,H,MA,M,R,8,voting,82
82094180,-0.0142421145512821,GRAHAM,LOUIS,H,PA,M,R,25,voting,82
82094190,-0.0379142592631579,HAGEN,HAROLD,H,MN,M,R,9,voting,82
82094200,-0.0716167142272727,HART,EDWARD,H,NJ,M,D,14,voting,82
82094210,-0.010469490125,HELLER,LOUIS,H,NY,M,D,7,voting,82
82094230,0.000241625444444446,HOWELL,CHARLES,H,NJ,M,D,4,voting,82
82094250,-0.0435275887633333,HUNTER,ALLAN,H,CA,M,R,9,voting,82
82094261,-0.0314193633414085,IVES,IRVING,S,NY,M,R,,voting,82
82094271,0.004720353332,JENNER,WILLIAM,S,IN,M,R,,voting,82
82094280,-0.0475411591634146,JONAS,EDGAR,H,IL,M,R,12,voting,82
82094290,0.010543002154955,KERSTEN,CHARLES,H,WI,M,R,5,voting,82
82094301,-0.0521716589781781,KILGORE,HARLEY,S,WV,M,D,,voting,82
82094311,-0.0198251302394167,KNOWLAND,WILLIAM,S,CA,M,R,,voting,82
82094321,-0.0275927580186412,LANGER,WILLIAM,S,ND,M,R,,voting,82
82094330,-0.0314682041526316,LANTAFF,WILLIAM,H,FL,M,D,4,voting,82
82094340,-0.0191562404944444,LUCAS,WINGATE,H,TX,M,D,12,voting,82
82094350,-0.00252929702576087,LYLE,JOHN,H,TX,M,D,14,voting,82
82094361,-0.0346241452436803,MALONE,GEORGE,S,NV,M,R,,voting,82
82094371,-0.0110928095005405,MARTIN,EDWARD,S,PA,M,R,,voting,82
82094381,0.00352696428774194,MCCARTHY,JOSEPH,S,WI,M,R,,voting,82
82094410,-0.046564168,OBRIEN,GEORGE,H,MI,M,D,13,voting,82
82094430,0.140124755,PATTEN,HAROLD,H,AZ,M,D,2,voting,82
82094450,-0.0485162854044445,POULSON,C.,H,CA,M,R,13,voting,82
82094470,-0.0530012181428571,REAMS,HENRY,H,OH,M,I,9,voting,82
82094480,-0.0552094422942553,REGAN,KENNETH,H,TX,M,D,16,voting,82
82094490,-0.0619277365036765,ROGERS,DWIGHT,H,FL,M,D,6,voting,82
82094500,-0.00622852039038462,ROOSEVELT,FRANKLIN,H,NY,M,D,20,voting,82
82094510,0.00122686997910448,SHAFER,PAUL,H,MI,M,R,3,voting,82
82094531,-0.00228675376857143,SMITH,HOWARD,S,NJ,M,R,,voting,82
82094540,-0.0258838423632353,STANLEY,THOMAS,H,VA,M,D,5,voting,82
82094560,-0.0110940922621154,SUTTON,JAMES,H,TN,M,D,7,voting,82
82094571,-0.0230224972516548,THYE,EDWARD,S,MN,M,R,,voting,82
82094601,-0.0228723446514439,WATKINS,ARTHUR,S,UT,M,R,,voting,82
82094610,-0.0642014314666667,WEICHEL,ALVIN,H,OH,M,R,13,voting,82
82094620,-0.0697622358918919,WHEELER,WILLIAM,H,GA,M,D,8,voting,82
82094630,-0.0520622286153846,WILSON,JOSEPH,H,TX,M,D,5,voting,82
82094650,-0.047857824808,YORTY,SAMUEL,H,CA,M,D,14,voting,82
82094670,-0.0115426529516484,BENDER,GEORGE,H,OH,M,R,0,voting,82
82094721,-0.049021545343814,OMAHONEY,JOSEPH,S,WY,M,D,,voting,82
82094771,-0.027026974722752,BRIDGES,HENRY,S,NH,M,R,,voting,82
82094780,-0.0664761,BUCHANAN,VERA,H,PA,F,D,33,voting,82
82094790,-0.0381741169326923,BURNSIDE,MAURICE,H,WV,M,D,4,voting,82
82094800,-0.0975520533333333,CARLYLE,FRANK,H,NC,M,D,7,voting,82
82094820,-0.000324133202545454,CHATHAM,RICHARD,H,NC,M,D,5,voting,82
82094840,-0.0564946751761905,CRUMPACKER,SHEPARD,H,IN,M,R,3,voting,82
82094860,-0.0351505784290476,DEANE,CHARLES,H,NC,M,D,8,voting,82
82094870,-0.0206561023367647,DINGELL,JOHN,H,MI,M,D,15,voting,82
82094880,-0.0550643462358491,DOLLIVER,JAMES,H,IA,M,R,6,voting,82
82094890,-0.0526471853649789,DONDERO,GEORGE,H,MI,M,R,17,voting,82
82094900,-0.0538617053090909,DONOVAN,JAMES,H,NY,M,D,18,voting,82
82094910,-0.0634988107604651,ELLSWORTH,MATHEW,H,OR,M,R,4,voting,82
82094930,-0.0455073591692064,FERNANDEZ,ANTONIO,H,NM,M,D,0,voting,82
82094940,-0.0500694254833333,FINE,SIDNEY,H,NY,M,D,23,voting,82
82094961,-0.0446450374364583,FREAR,JOSEPH,S,DE,M,D,,voting,82
82094970,-0.064445269454,GAMBLE,RALPH,H,NY,M,R,28,voting,82
82094990,-0.022181986,GRANAHAN,WILLIAM,H,PA,M,D,2,voting,82
82095001,-0.0186772709476282,GREEN,THEODORE,S,RI,M,D,,voting,82
82095010,-0.0318715284346939,HAND,THOMAS,H,NJ,M,R,2,voting,82
82095030,-0.0353233678817391,HINSHAW,JOHN,H,CA,M,R,20,voting,82
82095040,0.0147045865,HOFFMAN,RICHARD,H,IL,M,R,10,voting,82
82095050,-0.0223369368136364,HOPE,CLIFFORD,H,KS,M,R,5,voting,82
82095060,-0.00927001834127072,JOHNSON,JUSTIN,H,CA,M,R,3,voting,82
82095070,0.0133779694,JONES,WOODROW,H,NC,M,D,11,voting,82
82095080,-0.00727195183333333,KING,KARL,H,PA,M,R,8,voting,82
82095090,-0.0698060744737705,KLEIN,ARTHUR,H,NY,M,D,19,voting,82
82095100,-0.0189095081081081,LOVRE,HAROLD,H,SD,M,R,1,voting,82
82095110,-0.0210820106104478,MARTIN,THOMAS,H,IA,M,R,1,voting,82
82095131,-0.06074129198,MURRAY,JAMES,S,MT,M,D,,voting,82
82095141,-0.0280949303385827,NEELY,MATTHEW,S,WV,M,D,,voting,82
82095150,0.00717195308,NELSON,CHARLES,H,ME,M,R,2,voting,82
82095170,-0.047566275850428,PHILLIPS,JOHN,H,CA,M,R,22,voting,82
82095180,-0.0258285486172892,PRIEST,JAMES,H,TN,M,D,6,voting,82
82095190,-0.0983506383666667,REED,CHAUNCEY,H,IL,M,R,14,voting,82
82095200,-0.00259875150821918,RICHARDS,JAMES,H,SC,M,D,5,voting,82
82095210,0.0108787624902308,SHORT,DEWEY,H,MO,M,R,7,voting,82
82095220,-0.0262258452916667,THOMPSON,RUTH,H,MI,F,R,9,voting,82
82095240,-0.0379996085,VELDE,HAROLD,H,IL,M,R,18,voting,82
82095250,-0.0845240529953763,WOLCOTT,JESSE,H,MI,M,R,7,voting,82
82095310,-0.0546810004727273,ALLEN,JOHN,H,CA,M,R,7,voting,82
82095320,-0.0146407100923636,ANDRESEN,AUGUST,H,MN,M,R,1,voting,82
82095330,-0.0400400580073171,BEAMER,JOHN,H,IN,M,R,5,voting,82
82095350,-0.00121184775333333,BROWNSON,CHARLES,H,IN,M,R,11,voting,82
82095360,-0.01648736541,BURDICK,USHER,H,ND,M,R,0,voting,82
82095371,-0.117787968,BUSH,PRESCOTT,S,CT,M,R,,voting,82
82095381,-0.0598903135422111,BUTLER,JOHN,S,MD,M,R,,voting,82
82095401,-0.036664282558888,CAPEHART,HOMER,S,IN,M,R,,voting,82
82095431,-0.0475188141747581,CASE,FRANCIS,S,SD,M,R,,voting,82
82095440,-0.1027365726,CHUDOFF,EARL,H,PA,M,D,4,voting,82
82095450,0.00991346843125,CLEVENGER,CLIFF,H,OH,M,R,5,voting,82
82095460,0.00837958296561538,COLE,WILLIAM,H,NY,M,R,39,voting,82
82095470,-0.0799147905868132,COOPER,JERE,H,TN,M,D,9,voting,82
82095480,-0.0236863453392523,COUDERT,FREDERIC,H,NY,M,R,17,voting,82
82095500,-0.0549753129954955,CUNNINGHAM,PAUL,H,IA,M,R,5,voting,82
82095530,-0.0498187587037736,DEMPSEY,JOHN,H,NM,M,D,0,voting,82
82095550,0.00488858495714286,DEVEREUX,JAMES,H,MD,M,R,2,voting,82
82095570,-0.0482096974397268,EBERHARTER,HERMAN,H,PA,M,D,32,voting,82
82095580,-0.08201158635,GEORGE,MYRON,H,KS,M,R,3,voting,82
82095590,0.0116986676266667,GORDON,THOMAS,H,IL,M,D,8,voting,82
82095600,0.074964146,GREGORY,NOBLE,H,KY,M,D,1,voting,82
82095610,-0.0504736483,GWINN,RALPH,H,NY,M,R,27,voting,82
82095620,-0.0523123286483824,HALE,ROBERT,H,ME,M,R,1,voting,82
82095630,-0.046994315,HARDEN,CECIL,H,IN,F,R,6,voting,82
82095640,-0.0550301956666667,HARRISON,ROBERT,H,NE,M,R,3,voting,82
82095660,0.0195494367672269,HAYS,LAWRENCE,H,AR,M,D,5,voting,82
82095671,-0.0193638669744872,HENNINGS,THOMAS,S,MO,M,D,,voting,82
82095680,-0.0691650003895522,HESELTON,JOHN,H,MA,M,R,1,voting,82
82095690,-0.0435045117091011,HILL,WILLIAM,H,CO,M,R,2,voting,82
82095700,-0.00486621042954545,HILLINGS,PATRICK,H,CA,M,R,12,voting,82
82095710,-0.02976171072,HOLMES,OTIS,H,WA,M,R,4,voting,82
82095730,0.00490585266666667,JAMES,BENJAMIN,H,PA,M,R,7,voting,82
82095740,-0.0521295821476471,JENKINS,THOMAS,H,OH,M,R,10,voting,82
82095750,-0.049210611865625,KEAN,ROBERT,H,NJ,M,R,12,voting,82
82095760,0.00745267747222222,KEARNEY,BERNARD,H,NY,M,R,31,voting,82
82095780,-0.006075076385,KELLEY,AUGUSTINE,H,PA,M,D,27,voting,82
82095810,-0.0562282668953333,LANHAM,HENDERSON,H,GA,M,D,7,voting,82
82095820,-0.113237982,LATHAM,HENRY,H,NY,M,R,3,voting,82
82095830,-0.0295989150035714,LE COMPTE,KARL,H,IA,M,R,4,voting,82
82095860,-0.0958879620714286,MCCONNELL,SAMUEL,H,PA,M,R,16,voting,82
82095870,-0.0668422030366667,MCGREGOR,J.,H,OH,M,R,17,voting,82
82095890,-0.00943031885416667,MCVEY,WILLIAM,H,IL,M,R,4,voting,82
82095900,-0.0400139198517781,MILLER,ARTHUR,H,NE,M,R,4,voting,82
82095910,-0.0501839387083333,MILLER,EDWARD,H,MD,M,R,1,voting,82
82095920,-0.0474205764620408,MORANO,ALBERT,H,CT,M,R,4,voting,82
82095940,-0.0271971513163333,NICHOLSON,DONALD,H,MA,M,R,9,voting,82
82095960,-0.0346147055229032,OHARA,JOSEPH,H,MN,M,R,2,voting,82
82095970,-0.008128130645,PATTERSON,JAMES,H,CT,M,R,5,voting,82
82095980,-0.0284593138,RADWAN,EDMUND,H,NY,M,R,43,voting,82
82095990,0.02876781,ROBESON,EDWARD,H,VA,M,D,1,voting,82
82096010,-0.0137436968560606,SADLAK,ANTONI,H,CT,M,R,-1,voting,82
82096020,-0.0184909960534586,SCRIVNER,ERRETT,H,KS,M,R,2,voting,82
82096030,-0.0925966741766667,SCUDDER,HUBERT,H,CA,M,R,1,voting,82
82096040,0.0220938738263158,SHEEHAN,TIMOTHY,H,IL,M,R,11,voting,82
82096060,-0.0127027589314286,SIEMINSKI,ALFRED,H,NJ,M,D,13,voting,82
82096070,-0.07260702545,SIMPSON,SIDNEY,H,IL,M,R,20,voting,82
82096080,0.00253068406805556,SMITH,LAWRENCE,H,WI,M,R,1,voting,82
82096100,-0.075041965325,TALLE,HENRY,H,IA,M,R,2,voting,82
82096120,-0.0180010750640625,VORYS,JOHN,H,OH,M,R,12,voting,82
82096130,-0.0407767536657258,VURSELL,CHARLES,H,IL,M,R,24,voting,82
82096140,-0.0379532618445361,WIGGLESWORTH,RICHARD,H,MA,M,R,13,voting,82
82096151,-0.014972613149134,WILEY,ALEXANDER,S,WI,M,R,,voting,82
82096160,0.016806895,WILLIAMS,WILLIAM,H,NY,M,R,35,voting,82
82096170,-0.0684137958318182,WOLVERTON,CHARLES,H,NJ,M,R,1,voting,82
82096190,-0.0224863103096154,ALLEN,LEO,H,IL,M,R,16,voting,82
82096210,-0.0164705122097561,BARDEN,GRAHAM,H,NC,M,D,3,voting,82
82096240,-0.0226387191538462,BEALL,JAMES,H,MD,M,R,6,voting,82
82096310,-0.0780273862546667,BROWN,PAUL,H,GA,M,D,10,voting,82
82096330,-0.0515594610384615,BUDGE,HAMER,H,ID,M,R,2,voting,82
82096350,0.0073259,BUSH,ALVIN,H,PA,M,R,15,voting,82
82096361,-0.0483189851708955,BYRD,HARRY,S,VA,M,D,,voting,82
82096370,-0.0231872255372881,CANFIELD,GORDON,H,NJ,M,R,8,voting,82
82096380,0.0410494092210526,CARNAHAN,ALBERT,H,MO,M,D,8,voting,82
82096401,-0.0352382608142107,CHAVEZ,DENNIS,S,NM,M,D,,voting,82
82096440,-0.023775656027027,DOLLINGER,ISIDORE,H,NY,M,D,24,voting,82
82096460,0.0116387839647887,DURHAM,CARL,H,NC,M,D,6,voting,82
82096480,-0.0640700721986111,ENGLE,CLAIR,H,CA,M,D,2,voting,82
82096510,-0.0875756496365385,FORAND,AIME,H,RI,M,D,1,voting,82
82096570,-0.09058358,HESS,WILLIAM,H,OH,M,R,2,voting,82
82096600,-0.00472599056557377,JACKSON,DONALD,H,CA,M,R,16,voting,82
82096630,-0.0458899337407813,KEATING,KENNETH,H,NY,M,R,40,voting,82
82096670,-0.0789475328283019,MACK,RUSSELL,H,WA,M,R,3,voting,82
82096720,-0.0260697105227273,MORRIS,TOBY,H,OK,M,D,6,voting,82
82096740,-0.0428947332142857,POLK,JAMES,H,OH,M,D,6,voting,82
82096760,-0.0372513827924528,PRESTON,PRINCE,H,GA,M,D,1,voting,82
82096790,-0.0640350271418994,REED,DANIEL,H,NY,M,R,45,voting,82
82096800,-0.0522015317689652,REES,EDWARD,H,KS,M,R,4,voting,82
82096810,-0.00320276280915531,ROGERS,EDITH,H,MA,F,R,5,voting,82
82096830,-0.0718737052857143,SIMPSON,RICHARD,H,PA,M,R,17,voting,82
82096840,-0.11401323,SMITH,WINT,H,KS,M,R,6,voting,82
82096850,0.0459844048,TAYLOR,DEAN,H,NY,M,R,33,voting,82
82096900,-0.0406627293053086,WIER,ROY,H,MN,M,D,3,voting,82
82096910,-0.0698920559032258,WITHROW,GARDNER,H,WI,M,R,3,voting,82
82096960,-0.00201177221333333,ADDONIZIO,HUGH,H,NJ,M,D,11,voting,82
82096990,-0.048471024625,ANDERSEN,HERMAN,H,MN,M,R,7,voting,82
82097000,-0.0194089123333333,ANFUSO,VICTOR,H,NY,M,D,8,voting,82
82097010,-0.0422185781137725,BAILEY,CLEVELAND,H,WV,M,D,3,voting,82
82097050,-0.000360942,BOYKIN,FRANK,H,AL,M,D,1,voting,82
82097070,0.00174291529116279,BROOKS,OVERTON,H,LA,M,D,4,voting,82
82097090,-0.0312676878,CHIPERFIELD,ROBERT,H,IL,M,R,19,voting,82
82097100,-0.0183848032494624,CHURCH,MARGUERITE,H,IL,F,R,13,voting,82
82097140,-0.0649637865663717,DAVIS,JAMES,H,GA,M,D,5,voting,82
82097161,-0.0460715745313977,DOUGLAS,PAUL,S,IL,M,D,,voting,82
82097181,-0.037644745362375,DWORSHAK,HENRY,S,ID,M,R,,voting,82
82097190,-0.0854235149036364,FENTON,IVOR,H,PA,M,R,12,voting,82
82097200,-0.0654851237909091,FRAZIER,JAMES,H,TN,M,D,3,voting,82
82097230,-0.0747246623552632,HARRISON,BURR,H,VA,M,D,7,voting,82
82097260,-0.00421180404980243,HOFFMAN,CLARE,H,MI,M,R,4,voting,82
82097300,0.0130969552779545,JUDD,WALTER,H,MN,M,R,5,voting,82
82097310,-0.0213639459617647,KEARNS,CARROLL,H,PA,M,R,28,voting,82
82097321,-0.09355572999625,KEFAUVER,CAREY,S,TN,M,D,,voting,82
82097331,-0.0252198149814815,KERR,ROBERT,S,OK,M,D,,voting,82
82097340,6.62115322930232e-05,KILDAY,PAUL,H,TX,M,D,20,voting,82
82097370,-0.0225179627421053,LANE,THOMAS,H,MA,M,D,7,voting,82
82097390,-0.029636271975,MACHROWICZ,THADDEUS,H,MI,M,D,1,voting,82
82097400,0.0160640185325,MACK,PETER,H,IL,M,D,21,voting,82
82097420,-0.00501718497575366,MARSHALL,FRED,H,MN,M,D,6,voting,82
82097430,-0.0484484396862069,MASON,NOAH,H,IL,M,R,15,voting,82
82097440,-0.0433872449242718,MCDONOUGH,GORDON,H,CA,M,R,15,voting,82
82097480,-0.01692493094,MERROW,CHESTER,H,NH,M,R,1,voting,82
82097510,-0.024613344,MOULDER,MORGAN,H,MO,M,D,2,voting,82
82097520,-0.0550919326083333,MUMMA,WALTER,H,PA,M,R,18,voting,82
82097550,-0.056490814714625,NORRELL,WILLIAM,H,AR,M,D,6,voting,82
82097580,-0.0317711820264516,RABAUT,LOUIS,H,MI,M,D,14,voting,82
82097600,0.030211486572,RAYBURN,SAMUEL,H,TX,M,D,4,voting,82
82097610,-0.0223795753846154,REECE,BRAZILLA,H,TN,M,R,1,voting,82
82097640,-0.009994513,RILEY,JOHN,H,SC,M,D,2,voting,82
82097651,-0.0381402427380064,ROBERTSON,ABSALOM,S,VA,M,D,,voting,82
82097671,-0.00958932416637566,SALTONSTALL,LEVERETT,S,MA,M,R,,voting,82
82097711,-0.0354396630899153,SCHOEPPEL,ANDREW,S,KS,M,R,,voting,82
82097730,-0.00206565759710145,SEELY-BROWN,HORACE,H,CT,M,R,2,voting,82
82097740,-0.0328239295764706,SMITH,FRANK,H,MS,M,D,3,voting,82
82097750,-0.0695053613111051,SPENCE,BRENT,H,KY,M,D,5,voting,82
82097760,-0.0408701827736412,TABER,JOHN,H,NY,M,R,38,voting,82
