V1,session,speech_id,similarity
0,83,830000004,-0.00905823
1,83,830000007,-0.06527811
2,83,830000008,0.007233018
3,83,830000010,-0.04705651
4,83,830000013,-0.038073696
5,83,830000015,0.00034547635
6,83,830000017,-0.09382007
7,83,830000018,-0.050452217
8,83,830000024,0.0047076372
9,83,830000028,0.017819783
10,83,830000029,-0.05467487
11,83,830000030,0.068908185
12,83,830000032,-0.0021244488
13,83,830000042,0.008735894
14,83,830000043,-0.025603259
15,83,830000044,0.057980914
16,83,830000046,0.04412557
17,83,830000047,-0.042266916
18,83,830000048,-0.04862209
19,83,830000052,-0.124064505
20,83,830000054,0.00049361144
21,83,830000058,0.04369777
22,83,830000059,0.025018873
23,83,830000062,0.0144689
24,83,830000063,0.007907451
25,83,830000071,-0.108751364
26,83,830000072,-0.11583693
27,83,830000073,-0.04511981
28,83,830000074,-0.05142024
29,83,830000075,-0.023995535
30,83,830000077,-0.0024458691
31,83,830000080,-0.06992827
32,83,830000084,0.02722739
33,83,830000090,-0.0140716005
34,83,830000091,-0.009896459
35,83,830000093,0.06620886
36,83,830000095,-0.011170102
37,83,830000097,0.04958889
38,83,830000098,-0.043029644
39,83,830000100,-0.11874554
40,83,830000104,0.011369675
41,83,830000107,0.011466002
42,83,830000108,0.044645585
43,83,830000109,-0.007268532
44,83,830000112,-0.037031297
45,83,830000113,0.0251209
46,83,830000115,-0.06828884
47,83,830000117,0.12911463
48,83,830000118,0.11284078
49,83,830000120,0.124529295
50,83,830000127,0.051173307
51,83,830000134,0.033664927
52,83,830000140,0.037967
53,83,830000142,0.05917429
54,83,830000143,0.0075641363
55,83,830000144,-0.0719511
56,83,830000145,-0.020555593
57,83,830000148,-0.016685275
58,83,830000152,-0.057574
59,83,830000156,0.0122703025
60,83,830000160,-0.100760266
61,83,830000174,-0.1156104
62,83,830000175,0.04789517
63,83,830000182,-0.0034121654
64,83,830000184,0.06764596
65,83,830000185,-0.021484813
66,83,830000188,0.038132068
67,83,830000190,-0.025435269
68,83,830000191,-0.05067917
69,83,830000192,-0.0868386
70,83,830000193,-0.044024635
71,83,830000197,0.12646717
72,83,830000198,0.07613861
73,83,830000200,0.12283229
74,83,830000202,0.006741208
75,83,830000205,-0.07656563
76,83,830000206,0.087116614
77,83,830000208,0.08197747
78,83,830000210,0.028303238
79,83,830000211,-0.036334243
80,83,830000213,-0.020561906
81,83,830000214,-0.062173013
82,83,830000216,0.018932212
83,83,830000218,0.03899982
84,83,830000221,-0.032123484
85,83,830000223,0.024102183
86,83,830000225,0.05464126
87,83,830000227,0.16650288
