V1,session,speech_id,similarity
0,101,1010000001,-0.032062415
1,101,1010000002,-0.054734048
2,101,1010000003,-0.041172106
3,101,1010000005,-0.15634081
4,101,1010000008,-0.1058809
5,101,1010000011,-0.0039137155
6,101,1010000015,-0.15634081
7,101,1010000019,-0.15634081
8,101,1010000023,-0.15634081
9,101,1010000027,-0.15634081
10,101,1010000032,-0.1344297
11,101,1010000037,0.017629808
12,101,1010000043,0.041815247
13,101,1010000047,-0.0010151137
14,101,1010000048,0.01690406
15,101,1010000053,-0.04086021
16,101,1010000056,0.0393187
17,101,1010000063,0.06158418
18,101,1010000067,0.062930964
19,101,1010000071,-0.09047021
20,101,1010000075,-0.03169525
21,101,1010000084,0.006594455
22,101,1010000087,-0.011998741
23,101,1010000090,-0.05119013
24,101,1010000092,-0.007862468
25,101,1010000094,0.015654918
26,101,1010000095,0.014657935
27,101,1010000096,0.11338184
28,101,1010000098,-0.023117194
29,101,1010000099,-0.026108792
30,101,1010000100,-0.02360422
31,101,1010000101,0.039099928
32,101,1010000102,0.03845969
33,101,1010000103,-0.033700295
34,101,1010000104,0.010869611
35,101,1010000105,-0.019198863
36,101,1010000106,-0.06797483
37,101,1010000108,0.17987375
38,101,1010000110,-0.03327455
39,101,1010000111,0.06363324
40,101,1010000112,-0.06694161
41,101,1010000113,-0.08876116
42,101,1010000114,0.00010434841
43,101,1010000115,-0.07822951
44,101,1010000116,0.003695239
45,101,1010000117,-0.029308438
46,101,1010000118,0.020422993
47,101,1010000119,0.10071141
48,101,1010000120,-0.07680156
49,101,1010000121,-0.033526964
50,101,1010000133,-0.06767713
51,101,1010000134,0.021887798
52,101,1010000135,-0.03893564
53,101,1010000192,0.004250755
54,101,1010000194,-0.07821471
55,101,1010000196,0.034188487
56,101,1010000197,0.04659284
57,101,1010000199,-0.0028877314
58,101,1010000200,0.043807678
59,101,1010000201,0.01999979
60,101,1010000202,-0.013059086
61,101,1010000203,0.031391267
62,101,1010000205,-0.06084623
63,101,1010000207,0.09049161
64,101,1010000209,0.112792976
65,101,1010000211,0.16697145
66,101,1010000213,0.10675532
67,101,1010000214,0.073931634
68,101,1010000222,0.04886487
69,101,1010000224,-0.03788083
70,101,1010000230,-0.035917215
71,101,1010000233,-0.045152828
72,101,1010000234,0.063824795
73,101,1010000235,-0.09779599
74,101,1010000237,0.014792829
75,101,1010000239,-0.024329416
76,101,1010000241,-0.1919344
77,101,1010000243,-0.1539635
78,101,1010000245,0.06557503
79,101,1010000247,-0.028738275
80,101,1010000250,0.11682996
81,101,1010000251,0.053287446
82,101,1010000255,0.004245659
83,101,1010000264,0.10100921
84,101,1010000271,-0.0083798
85,101,1010000274,0.06151295
86,101,1010000295,-0.078404814
87,101,1010000298,-0.00035569537
88,101,1010000305,-0.13650072
89,101,1010000306,-0.07171
90,101,1010000313,0.00996447
91,101,1010000317,0.04719491
92,101,1010000320,0.0055926275
93,101,1010000321,0.067073956
94,101,1010000323,-0.07910641
95,101,1010000324,-0.08360958
96,101,1010000325,-0.03879364
97,101,1010000326,-0.005509343
98,101,1010000327,-0.17755081
99,101,1010000328,-0.11166969
100,101,1010000329,-0.056124408
101,101,1010000330,-0.0078260675
102,101,1010000332,0.06886148
103,101,1010000334,0.022431722
104,101,1010000336,-0.19873478
105,101,1010000338,-0.12998605
