V1,session,speech_id,similarity
0,98,980000001,0.0015541115
1,98,980000003,-0.0027764656
2,98,980000004,-0.15915099
3,98,980000005,-0.15915099
4,98,980000006,-0.15915099
5,98,980000008,0.083276495
6,98,980000013,0.027667131
7,98,980000016,0.03839533
8,98,980000032,0.04000832
9,98,980000040,-0.025663886
10,98,980000057,0.022702381
11,98,980000058,-0.05330112
12,98,980000059,-0.046018433
13,98,980000061,-0.007840687
14,98,980000064,-0.10453738
15,98,980000090,0.10007094
16,98,980000095,0.057783224
17,98,980000097,0.11715415
18,98,980000098,-0.03253922
19,98,980000100,-0.040556833
20,98,980000102,-0.04869521
21,98,980000106,0.122729264
22,98,980000107,0.045117088
23,98,980000108,0.02043715
24,98,980000109,0.0952855
25,98,980000112,0.09232048
26,98,980000115,0.097890414
27,98,980000117,0.05079113
28,98,980000120,0.062726215
29,98,980000121,-0.009158607
30,98,980000123,-0.019424802
31,98,980000124,0.20043881
32,98,980000125,0.07605385
33,98,980000126,0.07205305
34,98,980000127,0.044635676
35,98,980000128,0.06575356
36,98,980000131,0.06979731
37,98,980000133,-0.07155231
38,98,980000134,-0.0073087467
39,98,980000135,-0.07548545
40,98,980000136,-0.025037797
41,98,980000137,0.015926458
42,98,980000138,-0.0070783496
43,98,980000139,0.019157084
44,98,980000140,-0.03177317
45,98,980000142,-0.007758424
46,98,980000145,-0.027363116
47,98,980000146,0.083912104
48,98,980000148,0.066292666
49,98,980000149,0.0538548
50,98,980000150,0.093730055
51,98,980000151,0.050158236
52,98,980000154,-0.061098322
53,98,980000157,0.12501745
54,98,980000159,0.08885898
55,98,980000160,0.14077438
56,98,980000161,0.16940974
57,98,980000163,0.11069981
58,98,980000172,0.057904616
59,98,980000177,0.015167016
60,98,980000180,-0.015782503
61,98,980000184,-0.04133315
62,98,980000187,-0.15241829
63,98,980000188,-0.008768569
64,98,980000192,-0.050033532
65,98,980000195,-0.09233882
66,98,980000196,-0.014158027
67,98,980000197,0.0064610518
68,98,980000198,-0.05625748
69,98,980000202,-0.027991923
70,98,980000205,-0.0931302
71,98,980000206,0.028541692
72,98,980000207,0.047148634
73,98,980000210,0.14721082
74,98,980000212,-0.024854122
75,98,980000213,-0.0042387247
76,98,980000215,-0.14441562
77,98,980000217,-0.02996887
78,98,980000219,-0.005635923
79,98,980000221,-0.00785162
80,98,980000223,-0.06469942
81,98,980000225,0.03455597
82,98,980000227,-0.04122323
83,98,980000229,0.054193214
84,98,980000231,-0.08127945
85,98,980000233,-0.13538086
86,98,980000235,-0.02311407
87,98,980000237,-0.026493942
88,98,980000238,0.14490682
89,98,980000239,-0.1096792
90,98,980000241,-0.097372495
91,98,980000242,-0.05825223
92,98,980000250,-0.00076539
93,98,980000254,0.10164257
94,98,980000259,0.036996193
95,98,980000262,-0.019419845
96,98,980000263,0.03171717
97,98,980000292,-0.053757817
98,98,980000295,-0.027100632
99,98,980000297,0.04570391
100,98,980000301,-0.02693865
101,98,980000303,0.06266219
102,98,980000306,0.046427365
103,98,980000312,-0.15587436
104,98,980000313,-0.1086538
105,98,980000314,-0.026918001
106,98,980000315,0.11562853
107,98,980000317,0.0012854196
108,98,980000319,-0.15543179
109,98,980000320,-0.10678134
110,98,980000322,0.046184085
111,98,980000324,-0.10756737
112,98,980000326,-0.1892162
113,98,980000328,0.0195494
114,98,980000330,-0.10429829
115,98,980000331,-0.1755354
116,98,980000335,-0.14334317
117,98,980000336,-0.13128112
118,98,980000337,-0.09940399
119,98,980000338,-0.030611997
120,98,980000340,-0.17939034
121,98,980000341,-0.20341189
122,98,980000342,0.046490565
123,98,980000345,-0.057213627
124,98,980000347,-0.13171703
125,98,980000351,-0.05074154
126,98,980000353,0.07654801
127,98,980000355,-0.04490058
128,98,980000356,0.13628228
129,98,980000357,0.020719519
130,98,980000358,0.070400774
131,98,980000359,0.08709829
132,98,980000360,0.10054751
133,98,980000361,-0.06986927
134,98,980000362,-0.01309477
135,98,980000363,-0.12182986
136,98,980000364,-0.028892366
137,98,980000365,-0.041560166
138,98,980000366,0.058601484
139,98,980000367,-0.042557325
140,98,980000368,0.023512226
141,98,980000369,-0.12247902
142,98,980000370,-0.10667305
143,98,980000371,-0.12791856
144,98,980000372,-0.07516233
145,98,980000373,0.08715554
146,98,980000374,-0.070065945
147,98,980000375,-0.009857973
148,98,980000376,0.04767748
149,98,980000377,-0.16994019
150,98,980000378,-0.08422984
151,98,980000379,0.12541246
152,98,980000380,-0.1385396
153,98,980000381,-0.14773075
154,98,980000382,-0.117903896
155,98,980000383,-0.04161762
156,98,980000384,-0.14530434
157,98,980000385,-0.06807733
158,98,980000386,-0.15180844
159,98,980000387,-0.01718337
160,98,980000388,-0.08168489
161,98,980000389,-0.18517858
162,98,980000390,-0.13396403
163,98,980000392,0.12765281
164,98,980000393,-0.0129433805
165,98,980000394,-0.011560494
166,98,980000395,-0.09416638
167,98,980000396,0.018431526
168,98,980000397,-0.082883246
169,98,980000398,-0.12593503
170,98,980000399,-0.09547519
171,98,980000400,-0.084446564
172,98,980000401,-0.1901142
173,98,980000402,0.13615097
174,98,980000403,0.068861425
175,98,980000404,-0.088759065
176,98,980000405,0.027113494
177,98,980000406,0.089200124
178,98,980000407,-0.07612332
179,98,980000408,0.040561836
180,98,980000409,-0.060793877
181,98,980000410,-0.09238964
182,98,980000411,-0.06414338
183,98,980000412,-0.13238356
184,98,980000414,-0.09892188
185,98,980000415,0.014390497
186,98,980000416,0.06305214
187,98,980000424,-0.05552448
188,98,980000425,0.13143499
189,98,980000426,-0.037313435
190,98,980000427,-0.12312009
191,98,980000428,-0.21539071
192,98,980000429,-0.0030408946
193,98,980000430,0.042666893
194,98,980000431,-0.12886591
195,98,980000432,0.15673053
196,98,980000433,0.012077285
197,98,980000434,0.088247694
198,98,980000438,0.013787321
199,98,980000440,-0.005442577
200,98,980000443,0.02424692
201,98,980000447,0.060139615
202,98,980000450,0.07676067
203,98,980000454,0.023478728
204,98,980000457,0.08047943
205,98,980000461,0.040259555
206,98,980000465,0.10646121
207,98,980000467,0.048572738
208,98,980000468,0.09300411
209,98,980000469,0.014325437
210,98,980000470,0.12701578
211,98,980000471,0.15450568
212,98,980000472,0.05956287
213,98,980000475,0.017595816
214,98,980000476,-0.038280956
215,98,980000478,0.105914645
216,98,980000481,0.08005713
217,98,980000483,0.03276375
218,98,980000486,0.039594553
219,98,980000490,0.13318744
220,98,980000494,0.02860431
221,98,980000495,0.09036552
222,98,980000496,0.10247481
223,98,980000497,0.08961565
224,98,980000498,0.08594466
225,98,980000499,0.028647233
226,98,980000500,-0.020149963
227,98,980000501,0.012364106
228,98,980000506,0.19316824
229,98,980000507,-0.037941325
230,98,980000510,-0.029709877
231,98,980000511,0.029558241
232,98,980000512,0.0049657747
233,98,980000514,-0.095833376
234,98,980000515,-0.057502408
235,98,980000516,0.03463694
236,98,980000517,-0.07349878
237,98,980000518,-0.012883247
238,98,980000520,-0.014389288
239,98,980000521,0.05234717
240,98,980000522,0.050724022
241,98,980000526,0.05635326
242,98,980000533,-0.03809515
243,98,980000537,-0.03118886
244,98,980000541,0.008156549
245,98,980000542,-0.13915737
246,98,980000545,-0.011188048
247,98,980000547,-0.02550912
248,98,980000549,-0.23279108
249,98,980000551,-0.067193896
250,98,980000553,-0.04767158
251,98,980000555,0.009662556
252,98,980000557,-0.121257246
253,98,980000559,-0.2574453
254,98,980000561,-0.05700685
255,98,980000563,0.057927266
256,98,980000565,-0.0913137
257,98,980000567,-0.013596071
258,98,980000569,-0.17686436
259,98,980000571,-0.028308041
260,98,980000573,-0.15902928
261,98,980000574,-0.007430515
262,98,980000575,-0.049281143
263,98,980000577,-0.042292565
264,98,980000578,-0.17356002
265,98,980000579,-0.030546162
266,98,980000580,0.19122662
267,98,980000581,-0.048758443
268,98,980000582,-0.09040323
269,98,980000583,-0.04297163
270,98,980000584,0.04485455
271,98,980000585,0.22913659
272,98,980000586,-0.14583088
273,98,980000587,-0.09398742
274,98,980000588,-0.06696558
275,98,980000589,-0.009661083
276,98,980000590,-0.07637153
277,98,980000591,-0.011537153
278,98,980000592,-0.042371366
279,98,980000593,-0.1237333
280,98,980000594,-0.13302106
281,98,980000595,0.001391789
282,98,980000596,-0.06883196
283,98,980000597,-0.12884966
284,98,980000598,-0.0664351
285,98,980000599,-0.035375655
286,98,980000600,0.07731892
287,98,980000601,-0.10140759
288,98,980000602,-0.054517128
289,98,980000603,0.034016296
290,98,980000604,-0.0047087655
291,98,980000605,-0.16843966
292,98,980000606,0.070887536
293,98,980000607,-0.0054000127
294,98,980000608,-0.09502748
295,98,980000609,-0.08085135
296,98,980000610,-0.065365516
297,98,980000611,-0.10887962
298,98,980000612,-0.1329537
299,98,980000613,-0.079674646
300,98,980000614,-0.14610595
301,98,980000615,0.076996684
302,98,980000616,-0.032747887
303,98,980000617,-0.13923149
304,98,980000618,0.049362708
305,98,980000619,-0.037633635
306,98,980000620,-0.073835045
307,98,980000621,-0.02324777
308,98,980000622,0.17100953
309,98,980000623,0.038863022
310,98,980000624,-0.008222306
311,98,980000625,0.00066872826
312,98,980000626,0.0631088
313,98,980000627,0.065636374
314,98,980000628,0.074012384
315,98,980000629,0.047054004
316,98,980000630,0.06494924
317,98,980000631,0.08358067
318,98,980000632,0.05425115
319,98,980000633,-0.042275872
320,98,980000634,-0.04236831
321,98,980000635,-0.022695282
322,98,980000636,-0.13535194
323,98,980000637,-0.2571634
324,98,980000639,-0.09693601
325,98,980000640,0.14695117
326,98,980000641,0.025174098
327,98,980000642,-0.040729534
328,98,980000643,-0.23656733
329,98,980000644,-0.20903523
330,98,980000645,-0.2175219
331,98,980000646,-0.23485082
332,98,980000647,-0.04586214
333,98,980000648,-0.119906545
334,98,980000649,0.105823584
335,98,980000650,-0.021843031
336,98,980000651,-0.1795535
337,98,980000652,-0.17295074
338,98,980000653,0.15379602
339,98,980000654,0.0066140117
340,98,980000655,0.025227152
341,98,980000656,-0.16847299
342,98,980000657,-0.12395466
343,98,980000658,0.025549889
344,98,980000659,0.0018589895
345,98,980000660,-0.103496544
346,98,980000661,-0.19147272
347,98,980000662,0.032972623
348,98,980000664,0.021450453
349,98,980000665,0.09642214
350,98,980000666,-0.018601114
351,98,980000667,-0.02420612
352,98,980000669,-0.05081428
353,98,980000670,-0.028192077
354,98,980000671,0.037563104
355,98,980000672,0.026107604
356,98,980000673,0.03697713
357,98,980000674,0.12588891
358,98,980000675,0.07087613
359,98,980000676,-0.0027668583
360,98,980000679,-0.16323456
361,98,980000680,-0.104897074
362,98,980000681,0.15357208
363,98,980000682,0.11636178
364,98,980000683,0.051635504
365,98,980000684,0.018615862
366,98,980000685,0.0074590505
367,98,980000687,0.021153398
368,98,980000689,0.10882601
369,98,980000693,-0.0062562497
370,98,980000696,-0.025849279
371,98,980000697,-0.05251667
372,98,980000698,-0.08643477
373,98,980000699,0.043757785
374,98,980000701,-0.011764611
375,98,980000703,0.005769182
376,98,980000705,-0.04624061
377,98,980000706,0.045580223
378,98,980000708,-0.044706315
379,98,980000710,-0.08939109
380,98,980000712,-0.12634379
381,98,980000717,-0.06296316
382,98,980000718,-0.022638343
383,98,980000719,0.09569385
384,98,980000720,0.039488796
385,98,980000722,0.095650166
386,98,980000723,-0.15108258
387,98,980000724,-0.016239012
388,98,980000726,-0.045463383
389,98,980000735,0.006045955
390,98,980000737,0.009531711
391,98,980000739,-0.006092722
392,98,980000743,0.06727903
393,98,980000745,0.16284955
394,98,980000746,-0.0155237075
395,98,980000749,0.093492605
396,98,980000750,0.103598155
397,98,980000753,0.082243256
398,98,980000754,0.07138986
399,98,980000757,0.14593793
400,98,980000758,0.050051387
401,98,980000759,0.08807231
402,98,980000760,0.026116513
403,98,980000761,0.07253975
404,98,980000766,0.088936985
405,98,980000770,0.0036746198
406,98,980000772,0.005916499
407,98,980000774,0.034042057
408,98,980000776,0.045746587
409,98,980000777,0.036905903
410,98,980000778,0.11847513
411,98,980000780,0.05093777
412,98,980000781,0.04157472
413,98,980000782,0.038757604
414,98,980000785,-0.10081284
415,98,980000786,0.034482054
416,98,980000787,-0.09794765
417,98,980000788,0.04148633
418,98,980000790,0.0487689
419,98,980000791,0.03554009
420,98,980000795,-0.05285436
421,98,980000796,0.07711886
422,98,980000797,0.012557751
423,98,980000798,0.02047281
424,98,980000799,0.10748968
425,98,980000800,-0.12033913
426,98,980000801,0.061162878
427,98,980000802,-0.07181272
428,98,980000803,0.12697797
429,98,980000804,-0.006161317
430,98,980000805,-0.056978446
431,98,980000806,0.008395866
432,98,980000807,0.017836671
433,98,980000808,0.0038988898
434,98,980000809,-0.053898882
435,98,980000810,0.019906688
436,98,980000811,-0.03160152
437,98,980000812,-0.02136775
438,98,980000813,-0.06556474
439,98,980000814,0.14176269
440,98,980000815,0.04591912
441,98,980000816,0.07501184
442,98,980000817,-0.1241976
443,98,980000818,-0.069276266
444,98,980000819,-0.088978074
445,98,980000820,-0.03163571
446,98,980000821,0.16015725
447,98,980000822,0.11707692
448,98,980000824,0.045927893
449,98,980000825,0.08225262
450,98,980000828,0.1121326
451,98,980000829,0.06506238
452,98,980000834,0.043222867
453,98,980000840,0.08127645
454,98,980000841,-0.0041012336
455,98,980000842,-0.087276325
456,98,980000843,-0.12481514
457,98,980000845,-0.1497916
458,98,980000846,0.1115591
459,98,980000847,-0.109839216
460,98,980000848,0.04888855
461,98,980000849,-0.14603561
462,98,980000850,0.08233079
463,98,980000851,-0.074474744
464,98,980000852,-0.15749298
465,98,980000853,-0.15444861
466,98,980000854,-0.0012428737
467,98,980000855,-0.057519384
468,98,980000856,-0.14996341
469,98,980000857,-0.052707404
470,98,980000858,-0.026429584
471,98,980000859,-0.2602495
472,98,980000860,-0.0017184254
473,98,980000861,-0.17549403
474,98,980000862,0.0028719313
475,98,980000863,-0.140558
476,98,980000864,0.035514746
477,98,980000865,-0.13208255
478,98,980000866,-0.12184022
479,98,980000867,0.09211344
480,98,980000868,-0.22491738
481,98,980000869,0.17572631
482,98,980000870,-0.10789254
483,98,980000871,-0.1315971
484,98,980000872,-0.23365182
485,98,980000873,0.058173437
486,98,980000874,0.06056467
487,98,980000875,-0.12279051
488,98,980000876,0.025572017
489,98,980000877,-0.14058013
490,98,980000878,0.0029443717
491,98,980000879,-0.16119781
492,98,980000880,-0.21401173
493,98,980000881,0.0055029807
494,98,980000882,-0.04972155
495,98,980000883,-0.1049944
496,98,980000884,-0.013373981
497,98,980000885,0.11579948
498,98,980000886,-0.054181296
499,98,980000887,-0.09769502
500,98,980000888,0.092944786
501,98,980000889,0.007171908
502,98,980000890,-0.018768061
503,98,980000891,-0.014274888
504,98,980000892,-0.18261233
505,98,980000893,0.05359423
506,98,980000894,-0.10148203
507,98,980000895,-0.14342494
508,98,980000896,-0.015378917
509,98,980000897,-3.1435862e-05
510,98,980000898,-0.20049545
511,98,980000899,-0.0012810061
512,98,980000900,-0.122655615
513,98,980000901,0.071963236
514,98,980000902,0.10927262
515,98,980000903,0.086110376
516,98,980000905,0.0051078517
517,98,980000906,-0.06084337
518,98,980000907,0.09080064
519,98,980000908,-0.18270925
520,98,980000909,-0.13607249
521,98,980000910,0.06672356
522,98,980000911,0.08506735
523,98,980000912,-0.14266616
524,98,980000913,0.050236385
525,98,980000914,0.010588516
526,98,980000915,-0.18959275
527,98,980000917,0.041085012
528,98,980000918,-0.1940352
529,98,980000919,0.01413582
530,98,980000920,-0.19729306
531,98,980000921,-0.19839942
532,98,980000922,0.008922024
533,98,980000923,0.08458025
534,98,980000927,-0.055728372
535,98,980000930,-0.051067915
536,98,980000931,0.03997684
537,98,980000932,-0.061169602
538,98,980000933,0.028958015
539,98,980000934,0.005431977
540,98,980000935,-0.03703571
541,98,980000936,-0.035141803
542,98,980000937,0.039562684
543,98,980000938,-0.014572196
544,98,980000940,-0.048669912
545,98,980000941,0.05939807
546,98,980000942,-0.084859155
