V1,session,speech_id,similarity
0,82,820000001,-0.049027756
1,82,820000003,-0.06316138
2,82,820000004,-0.050600342
3,82,820000006,-0.030561935
4,82,820000007,-0.044138018
5,82,820000012,0.011992675
6,82,820000014,0.02112117
7,82,820000016,-0.00020400423
8,82,820000019,-0.010014642
9,82,820000023,-0.0015565979
10,82,820000024,-0.07932402
11,82,820000027,0.026252294
12,82,820000028,0.006369365
13,82,820000030,0.0035061408
14,82,820000034,-0.02230353
15,82,820000039,0.06816486
16,82,820000040,-0.0011082438
17,82,820000041,-0.02879972
18,82,820000044,-0.07145671
19,82,820000045,-0.017599043
20,82,820000050,0.05302952
21,82,820000051,-0.027303666
22,82,820000052,-0.03801558
23,82,820000054,0.005411434
24,82,820000055,0.038749717
25,82,820000056,0.034633655
26,82,820000057,-0.00038705708
27,82,820000058,0.05251104
28,82,820000059,0.12211484
29,82,820000061,-0.041417986
30,82,820000064,-0.00022633537
31,82,820000066,0.12914252
32,82,820000067,0.11810963
33,82,820000076,0.06314177
34,82,820000079,-0.16682002
35,82,820000087,0.038625386
36,82,820000092,0.064975955
37,82,820000095,0.12530795
38,82,820000106,0.09125934
39,82,820000107,0.0785996
40,82,820000113,-0.02842709
41,82,820000115,-0.05371821
42,82,820000124,-0.16388163
43,82,820000127,0.02416467
44,82,820000131,0.0066300696
45,82,820000133,0.14339417
46,82,820000134,0.14889489
47,82,820000135,0.109584324
48,82,820000139,-0.21233581
49,82,820000141,-0.11061065
50,82,820000144,0.03424366
51,82,820000146,-0.15496649
52,82,820000149,-0.020402143
53,82,820000150,-0.043362796
54,82,820000153,-0.07869686
55,82,820000156,-0.14037354
56,82,820000157,-0.10910591
57,82,820000159,-0.04833129
58,82,820000162,-0.16401692
59,82,820000166,-0.09133461
60,82,820000167,0.04222113
61,82,820000170,-0.006155927
62,82,820000173,-0.1285742
63,82,820000197,-0.05153562
64,82,820000206,0.007947033
65,82,820000211,0.0048344657
66,82,820000213,0.03285212
67,82,820000219,0.048701797
68,82,820000220,0.04173788
69,82,820000225,-0.009558389
70,82,820000229,0.02535101
71,82,820000238,0.06527378
72,82,820000247,-0.053999227
73,82,820000248,-0.010069757
74,82,820000251,-0.0007392799
75,82,820000253,0.02920963
76,82,820000256,0.0039059282
77,82,820000259,0.09386661
78,82,820000263,0.10118725
79,82,820000270,-0.059823755
80,82,820000271,-0.0051855277
81,82,820000274,0.07079046
82,82,820000277,0.13198645
83,82,820000280,0.09312218
84,82,820000281,0.06482036
85,82,820000283,-0.12444652
86,82,820000284,0.018143276
87,82,820000289,0.0054632034
88,82,820000295,0.016743368
89,82,820000300,-0.048503593
90,82,820000303,0.07687012
91,82,820000304,-0.1522281
92,82,820000305,0.10670721
93,82,820000307,0.10363571
94,82,820000309,-0.05520793
95,82,820000311,0.027862007
96,82,820000313,0.114210054
97,82,820000318,-0.024228653
98,82,820000320,-0.036023624
99,82,820000321,-0.017593302
100,82,820000322,0.08257503
101,82,820000324,-0.091047354
102,82,820000325,0.04874275
103,82,820000326,0.009836916
104,82,820000328,0.0056108283
105,82,820000329,-0.036646113
106,82,820000330,-0.09809174
107,82,820000331,-0.053810865
108,82,820000332,0.011722476
109,82,820000335,0.032733608
110,82,820000338,-0.008061458
111,82,820000339,0.02384023
112,82,820000343,0.073155336
113,82,820000344,0.06821129
114,82,820000345,0.010851275
115,82,820000346,0.07071084
116,82,820000347,0.08390502
117,82,820000348,0.15855232
118,82,820000349,0.062284596
119,82,820000352,0.10300422
120,82,820000353,-0.0018908605
121,82,820000354,0.1573627
122,82,820000355,0.07496989
123,82,820000361,-0.0029025131
124,82,820000363,0.020579495
125,82,820000364,0.07884537
126,82,820000365,0.22640003
127,82,820000369,0.03523259
128,82,820000370,0.025654832
129,82,820000371,0.10968912
130,82,820000372,-0.038935583
131,82,820000376,0.042199336
132,82,820000377,0.16953564
133,82,820000380,0.012684355
134,82,820000381,0.08178667
135,82,820000384,0.1268801
136,82,820000387,-0.04626845
137,82,820000388,0.020607742
138,82,820000391,-0.04465869
139,82,820000392,-0.063513644
140,82,820000395,0.08613887
141,82,820000396,0.122201376
142,82,820000399,0.011444897
143,82,820000401,0.054429352
144,82,820000402,0.029000876
145,82,820000405,-0.0070596198
146,82,820000406,-0.0010858453
147,82,820000407,0.052929223
148,82,820000409,-0.04839961
149,82,820000410,0.027302237
150,82,820000413,0.014675847
151,82,820000414,0.0026723067
152,82,820000415,-0.0010070922
153,82,820000416,0.042449847
154,82,820000417,0.12482462
155,82,820000418,0.122060746
156,82,820000419,0.07435453
157,82,820000421,0.1742203
158,82,820000422,0.06630664
159,82,820000424,0.17697075
160,82,820000425,0.056547694
161,82,820000426,0.015399884
162,82,820000427,0.045922108
163,82,820000428,0.014405071
164,82,820000429,0.11285027
165,82,820000430,0.028794914
166,82,820000431,0.011092233
167,82,820000432,0.13878824
168,82,820000433,0.099911705
169,82,820000434,0.07619299
170,82,820000436,-0.015670575
171,82,820000438,0.15994097
172,82,820000439,0.09372762
173,82,820000440,0.04955694
174,82,820000441,0.093848504
175,82,820000442,0.03992239
176,82,820000443,0.1828521
177,82,820000444,0.042516403
178,82,820000446,0.16341674
179,82,820000447,0.0044536702
180,82,820000450,0.11136327
181,82,820000451,-0.05510094
182,82,820000452,0.17385109
183,82,820000453,-0.02034783
184,82,820000455,0.05340583
185,82,820000456,0.02917639
186,82,820000457,0.017171608
187,82,820000459,0.03497629
188,82,820000460,0.117932305
189,82,820000461,0.04868041
190,82,820000462,0.17241362
191,82,820000465,0.14322402
192,82,820000468,0.053469375
193,82,820000469,0.20334648
194,82,820000470,0.08143695
195,82,820000471,0.18543467
196,82,820000472,0.17299153
197,82,820000473,0.21100064
198,82,820000476,0.10991687
199,82,820000477,0.19305503
200,82,820000480,0.025900787
201,82,820000481,0.1971195
202,82,820000482,0.026877841
203,82,820000485,0.100679316
204,82,820000486,0.13358161
205,82,820000487,0.17439394
206,82,820000488,0.17410146
207,82,820000489,0.04787327
208,82,820000490,0.08784826
209,82,820000492,0.09968485
210,82,820000493,0.024376363
211,82,820000500,0.020841701
212,82,820000504,-0.14948994
213,82,820000506,-0.022069745
214,82,820000511,-0.051155392
215,82,820000512,0.030971652
216,82,820000513,0.080370046
217,82,820000521,0.12757836
218,82,820000524,0.034289476
219,82,820000528,0.03426444
220,82,820000529,-0.025357932
221,82,820000530,0.05049176
222,82,820000532,0.014282855
223,82,820000533,-0.01706046
224,82,820000534,-0.05973019
225,82,820000535,0.074622996
226,82,820000536,0.022341335
227,82,820000537,-0.07446473
228,82,820000538,0.108307354
229,82,820000540,0.009534737
230,82,820000541,-0.005291165
231,82,820000542,0.067035586
232,82,820000543,0.07056076
233,82,820000544,0.1357829
234,82,820000546,0.060284924
235,82,820000548,0.035299424
236,82,820000549,0.024629718
237,82,820000562,-0.13321754
238,82,820000564,-0.013444396
239,82,820000565,0.03933694
240,82,820000566,-0.017178105
241,82,820000567,0.077560015
242,82,820000568,0.09050595
243,82,820000569,0.066073366
244,82,820000574,0.11132027
245,82,820000577,-0.014660684
246,82,820000579,0.087246686
247,82,820000580,-0.012925451
248,82,820000582,0.104147926
249,82,820000583,-0.009803644
250,82,820000586,-0.046972517
251,82,820000590,-0.117160566
252,82,820000593,-0.10862085
253,82,820000597,0.069314405
254,82,820000600,0.07655032
255,82,820000603,0.036704596
256,82,820000606,0.080886416
257,82,820000609,0.114671156
258,82,820000612,-0.002337972
259,82,820000614,-0.012364221
260,82,820000617,0.09620057
261,82,820000620,0.0991737
262,82,820000627,0.10773421
263,82,820000630,0.20538323
264,82,820000631,0.026085142
265,82,820000632,0.12738408
266,82,820000633,0.13299537
267,82,820000635,0.0743327
268,82,820000640,0.05440625
269,82,820000641,-0.058165964
270,82,820000646,0.0041517923
271,82,820000649,0.09666555
272,82,820000652,-0.00043682114
273,82,820000655,0.09253675
274,82,820000658,0.114582606
275,82,820000661,0.10490839
276,82,820000664,0.08096236
277,82,820000667,-0.14254642
278,82,820000670,-0.04023717
279,82,820000672,0.024607573
280,82,820000675,0.07819252
281,82,820000678,0.09910962
282,82,820000679,-0.0154828075
283,82,820000683,0.05475999
